,action 2
0,6.0
1,2.05
2,2.51
3,1.51
4,2.73
5,2.31
6,0.61
7,1.18
8,1.04
9,1.22
10,1.57
11,1.36
12,1.57
13,4.93
14,5.48
15,1.88
16,1.85
17,2.65
18,2.79
19,6.82
20,3.5
21,1.14
22,2.46
23,2.98
24,3.14
25,2.39
26,2.42
27,1.87
28,2.6
29,1.84
30,1.84
31,3.72
32,4.44
33,2.1
34,0.94
35,1.18
36,1.2
37,1.13
38,1.13
39,1.27
40,1.52
41,1.1
42,1.94
43,1.46
44,2.89
45,1.89
46,1.35
47,1.87
48,2.39
49,2.02
50,4.3
51,2.16
52,1.68
53,3.02
54,2.14
55,2.95
56,2.77
57,2.31
58,2.33
59,1.54
60,3.02
61,2.58
62,1.41
63,1.74
64,1.95
65,2.8
66,5.56
67,2.46
68,2.18
69,2.56
70,1.52
71,2.28
72,3.32
73,2.0
74,1.78
75,1.27
76,2.55
77,2.58
78,2.03
79,2.49
80,2.78
81,3.33
82,1.88
83,1.63
84,1.66
85,1.62
86,2.03
87,1.33
88,2.78
89,4.81
90,2.33
91,1.43
92,2.02
93,1.38
94,1.03
95,1.0
96,1.35
97,1.65
98,1.39
99,0.96
100,1.58
101,2.0
102,1.7
103,1.42
104,3.73
105,1.69
106,1.68
107,1.54
108,4.37
109,1.46
110,1.03
111,1.29
112,0.71
113,1.13
114,0.7
115,0.63
116,0.77
117,1.03
118,0.99
119,2.46
120,0.85
121,1.66
122,0.77
123,4.56
124,2.08
125,1.03
126,0.38
127,0.73
128,0.81
129,1.17
130,0.42
131,2.55
132,1.37
133,0.67
134,6.4
135,4.12
136,0.31
137,0.17
138,0.25
139,0.43
140,0.8
141,0.5
142,0.29
143,0.28
144,0.2
145,0.34
146,0.36
147,0.25
148,0.76
149,0.49
150,0.41
151,0.65
152,0.58
153,0.46
154,0.68
155,0.69
156,0.55
157,0.53
158,0.59
159,0.76
160,0.63
161,0.56
162,0.44
163,0.35
164,0.19
165,0.32
166,0.49
167,0.22
168,0.31
169,0.11
170,0.15
171,0.26
172,0.26
173,0.21
174,0.24
175,0.7
176,1.11
177,0.47
178,0.5
179,0.56
180,0.23
181,0.24
182,0.49
183,0.37
184,0.15
185,0.32
186,0.28
187,0.13
188,0.06
189,0.09
190,0.04
191,0.03
192,0.25
193,0.45
194,0.11
195,0.38
196,0.39
197,0.37
198,0.4
199,0.12
200,0.19
201,0.41
202,0.55
203,0.5
204,0.46
205,0.65
206,0.48
207,0.48
208,0.18
209,0.1
210,0.09
211,0.09
212,0.15
213,0.03
214,0.0
215,0.22
216,0.26
217,0.1
218,0.33
219,0.08
220,0.07
221,0.14
222,0.12
223,0.26
224,0.22
225,0.24
226,0.38
227,0.51
228,0.41
229,0.2
230,0.12
231,0.22
232,0.06
233,0.2
234,0.51
235,0.66
236,0.44
237,0.41
238,0.36
239,0.38
240,0.63
241,0.53
242,0.47
243,0.41
244,0.21
245,0.43
246,0.08
247,0.1
248,0.14
249,0.51
250,0.55
251,0.36
252,0.11
253,0.18
254,0.28
255,0.57
256,0.46
257,0.16
258,0.31
259,0.31
260,0.33
261,0.14
262,0.14
263,0.36
264,0.25
265,0.41
266,0.48
267,0.54
268,0.55
269,0.31
270,0.3
271,0.14
272,0.41
273,0.48
274,0.59
275,0.37
276,0.15
277,0.18
278,0.3
279,0.49
280,0.24
281,0.43
282,0.52
283,0.38
284,0.17
285,0.72
286,0.46
287,0.46
288,0.23
289,0.61
290,0.56
291,0.29
292,0.35
293,0.55
294,0.01
295,0.07
296,0.02
297,0.11
298,0.17
299,0.18
300,0.16
301,0.11
302,0.18
303,0.26
304,0.07
305,0.21
306,0.11
307,0.03
308,0.03
309,0.18
310,0.24
311,0.05
312,0.23
313,0.31
314,0.19
315,0.35
316,0.31
317,0.36
318,0.49
319,0.35
320,0.39
321,0.42
322,0.64
323,0.63
324,0.19
325,0.16
326,0.09
327,0.13
328,0.01
329,0.34
330,0.69
331,0.42
332,0.22
333,0.37
334,0.4
335,0.17
336,0.08
337,0.08
338,0.24
339,0.35
340,0.42
341,0.47
342,0.16
343,0.24
344,0.18
345,0.12
346,0.27
347,0.21
348,0.07
349,0.48
350,0.44
351,0.36
352,0.41
353,0.38
354,0.34
355,0.34
356,0.24
357,0.41
358,0.4
359,0.43
360,0.46
361,0.29
362,0.58
363,0.74
364,0.27
365,0.27
366,0.61
367,0.32
368,0.22
369,0.23
370,0.1
371,0.14
372,0.47
373,0.34
374,0.19
375,0.33
376,0.37
377,0.55
378,0.54
379,0.48
380,0.12
381,0.09
382,0.05
383,0.14
384,0.25
385,0.38
386,0.63
387,0.44
388,0.38
389,0.34
390,0.31
391,0.49
392,0.68
393,0.5
394,0.44
395,0.34
396,0.49
397,0.7
398,0.85
399,0.89
400,0.66
401,0.26
402,0.37
403,1.23
404,0.8
405,0.53
406,0.52
407,0.78
408,0.24
409,0.66
410,0.28
411,0.35
412,0.3
413,0.75
414,0.52
415,0.58
416,0.87
417,0.84
418,0.56
419,0.68
420,0.35
421,0.23
422,0.36
423,0.53
424,0.43
425,0.29
426,0.31
427,0.41
428,0.4
429,0.15
430,0.01
431,0.17
432,0.78
433,0.41
434,0.03
435,0.04
436,0.0
437,0.05
438,0.03
439,0.03
440,0.32
441,0.24
442,0.02
443,0.06
444,0.06
445,0.06
446,0.03
447,0.05
448,0.0
449,0.03
450,0.0
451,0.33
452,0.08
453,0.21
454,0.1
455,0.12
456,0.07
457,0.27
458,0.53
459,0.29
460,0.58
461,0.75
462,0.67
463,0.63
464,1.02
465,0.98
466,0.7
467,0.36
468,0.42
469,0.34
470,0.2
471,0.51
472,0.27
473,0.15
474,0.06
475,0.05
476,0.36
477,0.22
478,0.13
479,0.32
480,0.33
481,0.43
482,0.71
483,0.37
484,0.41
485,0.45
486,0.12
487,0.01
488,0.27
489,0.6
490,0.48
491,0.68
492,0.67
493,0.48
494,0.35
495,0.62
496,0.66
497,0.44
498,0.79
499,0.37
500,0.15
501,0.73
502,0.82
503,0.69
504,0.91
505,0.82
506,0.5
507,0.41
508,1.08
509,1.46
510,1.59
511,0.72
512,0.51
513,0.68
514,0.76
515,0.87
516,0.71
517,0.43
518,0.84
519,1.32
520,1.37
521,1.07
522,1.16
523,0.71
524,0.63
525,0.51
526,0.64
527,0.44
528,0.5
529,0.56
530,0.34
531,0.39
532,0.56
533,0.39
534,0.56
535,0.34
536,0.2
537,0.39
538,0.2
539,0.35
540,0.76
541,0.8
542,1.05
543,0.58
544,0.4
545,0.22
546,0.06
547,0.05
548,0.31
549,0.58
550,0.56
551,0.56
552,0.94
553,0.28
554,0.14
555,0.21
556,0.12
557,0.06
