,action 2
558,0.06
559,0.06
560,0.13
561,0.44
562,0.29
563,0.1
564,0.01
565,0.64
566,0.21
567,0.28
568,0.18
569,0.07
570,0.1
571,0.19
572,0.16
573,0.48
574,0.74
575,0.69
576,1.12
577,0.97
578,0.83
579,0.85
580,0.66
581,0.79
582,0.27
583,0.74
584,0.92
585,0.56
586,0.69
587,0.75
588,0.81
589,0.55
590,0.46
591,0.44
592,0.46
593,0.45
594,0.44
595,0.31
596,0.22
597,0.64
598,0.22
599,0.32
600,0.25
601,0.31
602,0.3
603,0.36
604,0.43
605,0.36
606,0.33
607,1.08
608,0.34
609,0.58
610,0.56
611,0.33
612,0.3
613,0.48
614,0.51
615,0.36
616,0.45
617,0.61
618,0.78
619,0.53
620,0.9
621,1.5
622,1.35
623,1.18
624,0.94
625,0.67
626,0.55
627,0.41
628,0.19
629,0.75
630,0.69
631,0.13
632,0.19
633,0.18
634,0.18
635,0.5
636,0.31
637,0.47
638,0.67
639,0.81
640,0.8
641,0.77
642,0.77
643,0.74
644,0.47
645,0.47
646,0.59
647,0.72
648,0.33
649,0.85
650,0.48
651,0.23
652,0.48
653,0.36
654,0.45
655,0.78
656,0.71
657,0.68
658,0.62
659,0.48
660,0.32
661,0.55
662,0.39
663,0.47
664,0.63
665,0.37
666,0.26
667,0.22
668,0.58
669,0.59
670,0.21
671,0.07
672,0.1
673,0.22
674,0.23
675,0.13
676,0.18
677,0.27
678,0.27
679,0.23
680,0.23
681,0.11
682,0.13
683,0.24
684,0.2
685,0.17
686,0.18
687,0.15
688,0.33
689,0.77
690,0.56
691,0.59
692,0.51
693,0.63
694,0.83
695,0.69
696,0.44
697,0.23
698,0.34
699,0.37
700,0.28
701,0.32
702,0.35
703,0.29
704,0.16
705,0.4
706,0.61
707,0.7
708,0.48
709,0.4
710,0.5
711,0.77
712,0.49
713,1.08
714,0.6
715,0.31
716,0.42
717,0.39
718,0.73
719,0.74
720,0.7
721,0.66
722,0.62
723,0.99
724,0.63
725,0.53
726,0.37
727,0.64
728,0.59
729,0.65
730,0.54
731,0.31
732,0.12
733,0.19
734,0.08
735,0.23
736,0.44
737,0.26
738,0.13
739,0.33
740,0.47
741,0.47
742,0.29
743,0.37
744,0.48
745,0.35
746,0.42
747,0.47
748,0.3
749,0.14
750,0.32
751,0.67
752,0.52
753,0.55
754,0.3
755,0.27
756,0.39
757,0.42
758,0.46
759,0.29
760,0.49
761,0.61
762,0.72
763,0.58
764,0.51
765,0.77
766,0.65
767,0.39
768,0.47
769,0.41
770,0.54
771,0.52
772,0.56
773,0.42
774,0.51
775,0.39
776,0.05
777,0.18
778,0.37
779,0.57
780,0.84
781,0.41
782,0.34
783,0.85
784,0.33
785,0.26
786,0.33
787,0.58
788,0.31
789,0.21
790,0.24
791,0.17
792,0.15
793,0.15
794,0.25
795,0.42
796,0.37
797,0.25
798,0.55
799,0.14
800,0.23
801,0.11
802,0.18
803,0.24
804,0.11
805,0.35
806,0.85
807,0.63
808,0.37
809,0.84
810,0.51
811,0.35
812,0.44
813,0.16
814,0.16
815,0.07
816,0.15
817,0.21
818,0.08
819,0.2
820,0.19
821,0.13
822,0.36
823,1.04
824,0.65
825,0.75
826,1.67
827,0.46
828,0.89
829,0.23
830,0.13
831,0.13
832,0.14
833,0.11
834,0.1
835,0.08
836,0.23
837,0.14
838,0.11
839,0.46
840,0.4
841,0.33
842,0.32
843,0.4
844,0.3
845,0.53
846,0.41
847,0.07
848,0.41
849,0.36
850,0.41
851,0.55
852,0.47
853,0.22
854,0.2
855,0.66
856,0.89
857,0.59
858,0.82
859,0.83
860,0.99
861,0.78
862,0.81
863,0.91
864,1.3
865,1.26
866,1.29
867,1.02
868,0.79
869,1.28
870,1.1
871,1.01
872,0.95
873,0.91
874,0.69
875,0.65
876,0.65
877,0.66
878,0.54
879,0.38
880,0.56
881,0.66
882,0.89
883,0.43
884,0.28
885,0.3
886,0.11
887,0.17
888,0.31
889,0.29
890,0.24
891,0.38
892,0.28
893,0.16
894,0.63
895,0.39
896,0.31
897,0.53
898,0.65
899,0.36
900,0.19
901,0.28
902,0.19
903,0.2
904,0.41
905,0.39
906,1.09
907,0.93
908,0.84
909,1.05
910,0.75
911,0.72
912,0.92
913,0.94
914,0.68
915,0.81
916,0.48
917,0.18
918,0.32
919,0.33
920,0.25
921,0.46
922,0.24
923,0.19
924,0.31
925,0.3
926,0.39
927,0.66
928,0.19
929,0.46
930,0.49
931,0.84
932,0.79
933,0.52
934,0.48
935,0.33
936,0.29
937,0.22
938,0.19
939,0.3
940,0.23
941,0.28
942,0.27
943,0.26
944,0.49
945,0.36
946,0.13
947,0.16
948,0.07
949,0.0
950,0.01
951,0.05
952,0.07
953,0.43
954,0.5
955,0.36
956,0.25
957,0.34
958,0.44
959,0.39
960,0.52
961,0.54
962,0.61
963,0.52
964,0.34
965,0.59
966,0.42
967,0.6
968,0.54
969,0.38
970,0.1
971,0.44
972,0.11
973,0.07
974,0.17
975,0.11
976,0.08
977,0.45
978,0.27
979,0.29
980,0.71
981,0.66
982,0.38
983,0.45
984,0.24
985,0.37
986,0.21
987,0.32
988,0.42
989,0.16
990,0.34
991,0.15
992,0.09
993,0.12
994,0.16
995,0.26
996,0.5
997,0.61
998,0.78
999,0.57
1000,0.9
1001,0.5
1002,0.68
1003,0.64
1004,0.57
1005,0.83
1006,0.62
1007,0.54
1008,0.36
1009,0.46
1010,0.48
1011,0.36
1012,0.33
1013,0.51
1014,0.47
1015,0.33
1016,0.29
1017,0.45
1018,0.11
1019,0.23
1020,0.27
1021,0.54
1022,0.38
1023,0.51
1024,0.59
1025,0.48
1026,0.45
1027,0.53
1028,0.57
1029,0.52
1030,0.5
1031,0.78
1032,0.46
1033,0.15
1034,0.15
1035,0.15
1036,0.19
1037,0.2
1038,0.38
1039,0.45
1040,0.35
1041,0.46
1042,0.54
1043,0.45
1044,0.4
1045,0.43
1046,0.14
1047,0.3
1048,0.31
1049,0.22
1050,0.22
1051,0.25
1052,0.42
1053,0.24
1054,0.38
1055,0.55
1056,0.81
1057,0.68
1058,0.28
1059,0.35
1060,0.46
1061,0.19
1062,0.0
1063,0.06
1064,0.51
1065,0.28
1066,0.04
1067,0.0
1068,0.09
1069,0.13
1070,0.17
1071,0.11
1072,0.22
1073,0.16
1074,0.09
1075,0.26
1076,0.3
1077,0.2
1078,0.01
1079,0.34
1080,0.28
1081,0.5
1082,0.38
1083,0.35
1084,0.37
1085,0.26
1086,0.58
1087,0.84
1088,0.93
1089,1.06
1090,0.7
1091,0.21
1092,0.37
1093,0.1
1094,0.19
1095,0.04
1096,0.06
1097,0.21
1098,0.12
1099,0.07
1100,0.86
1101,0.78
1102,0.72
1103,0.72
1104,0.86
1105,0.82
1106,0.06
1107,0.11
1108,0.15
1109,0.09
1110,0.06
1111,0.1
1112,0.08
1113,0.15
1114,0.21
1115,0.31
1116,0.43
1117,0.12
1118,0.53
1119,0.51
1120,0.41
1121,0.6
1122,0.3
1123,0.39
1124,0.12
1125,0.12
1126,0.17
1127,0.24
1128,0.1
1129,0.25
1130,0.1
1131,0.14
1132,0.15
1133,0.2
1134,0.14
1135,0.16
1136,0.26
1137,0.07
1138,0.2
1139,0.38
1140,0.37
1141,0.31
1142,0.3
1143,0.56
1144,0.56
1145,0.28
1146,0.49
1147,0.37
1148,0.44
1149,0.59
1150,0.41
1151,0.33
1152,0.5
1153,0.36
1154,0.28
1155,0.15
1156,0.16
1157,0.25
1158,0.11
1159,0.11
1160,0.06
1161,0.43
1162,0.11
1163,0.18
1164,0.62
1165,0.88
1166,0.68
1167,1.01
1168,0.79
1169,0.85
1170,0.8
1171,0.84
1172,0.91
1173,0.98
1174,0.97
1175,1.4
1176,1.71
1177,1.25
1178,1.21
1179,1.0
1180,1.27
1181,1.45
1182,1.29
1183,1.29
1184,1.14
1185,1.19
1186,1.02
1187,1.11
1188,1.07
1189,1.23
1190,1.09
1191,1.25
1192,1.54
1193,1.44
1194,1.14
1195,0.96
1196,1.36
1197,1.05
1198,0.9
1199,0.92
1200,0.92
1201,0.81
1202,0.61
1203,0.97
1204,0.71
1205,1.0
1206,1.01
1207,0.53
1208,0.68
1209,0.63
1210,0.71
1211,0.71
1212,0.71
1213,0.71
1214,0.88
1215,0.52
1216,0.6
1217,0.72
1218,1.02
1219,0.98
1220,1.1
1221,1.24
1222,1.11
1223,0.96
1224,1.11
1225,1.06
1226,0.8
1227,0.75
1228,1.09
1229,0.92
1230,0.7
1231,0.55
1232,0.61
1233,0.66
1234,0.77
1235,0.72
1236,0.81
1237,1.19
1238,0.87
1239,0.62
1240,0.62
1241,0.66
1242,0.88
1243,0.92
1244,0.69
1245,0.79
1246,0.73
1247,0.68
1248,0.78
1249,0.84
1250,0.93
1251,0.73
1252,0.69
1253,0.57
1254,0.69
1255,0.69
1256,0.66
1257,0.55
1258,0.8
1259,0.76
1260,0.72
1261,0.93
1262,1.19
1263,1.09
1264,1.02
1265,1.18
1266,0.98
1267,0.97
1268,1.01
1269,1.04
1270,1.18
1271,1.06
1272,0.88
1273,0.71
1274,0.4
1275,0.72
1276,0.78
1277,0.7
1278,0.44
1279,0.44
1280,1.0
1281,0.74
1282,0.99
1283,0.89
1284,0.94
1285,1.26
1286,1.41
1287,1.22
1288,1.2
1289,0.96
1290,0.83
1291,1.29
1292,0.98
1293,0.99
1294,0.83
1295,0.72
1296,0.83
1297,1.04
1298,0.7
1299,0.98
1300,0.73
1301,0.89
1302,0.71
1303,0.78
1304,0.92
1305,0.84
1306,0.76
1307,0.85
1308,1.01
1309,0.87
1310,0.62
1311,0.83
1312,0.92
1313,0.9
1314,1.1
1315,1.42
1316,1.34
1317,1.21
1318,0.93
1319,1.23
1320,1.11
1321,1.26
1322,1.26
1323,0.68
1324,1.06
1325,0.82
1326,0.67
1327,0.7
1328,1.22
1329,0.88
1330,0.74
1331,0.86
1332,1.05
1333,0.93
1334,1.03
1335,1.2
1336,0.76
1337,0.31
1338,0.57
1339,0.41
1340,0.42
1341,0.28
1342,0.33
1343,0.28
1344,0.26
1345,0.32
1346,0.23
1347,0.23
1348,0.13
1349,0.22
1350,0.29
1351,0.17
1352,0.24
1353,0.09
1354,0.25
1355,0.15
1356,0.26
1357,0.21
1358,0.15
1359,0.24
1360,0.26
1361,0.64
1362,0.33
1363,0.2
1364,0.49
1365,0.35
1366,0.54
1367,0.56
1368,0.42
1369,0.3
1370,0.52
1371,1.08
1372,0.9
1373,0.8
1374,0.95
1375,0.85
1376,1.07
1377,0.77
1378,0.74
1379,1.17
1380,0.87
1381,0.88
1382,0.76
1383,0.34
1384,0.16
1385,0.4
1386,0.56
1387,0.32
1388,0.6
1389,0.67
1390,0.63
1391,0.57
1392,0.2
1393,0.63
1394,0.27
1395,0.32
1396,0.53
1397,0.2
1398,0.57
1399,0.46
1400,0.5
1401,0.54
1402,0.41
1403,0.59
1404,0.23
1405,0.31
1406,0.32
1407,0.37
1408,0.13
1409,0.04
1410,0.18
1411,0.26
1412,0.27
1413,0.28
1414,0.17
1415,0.29
1416,0.29
1417,0.61
1418,0.35
1419,0.3
1420,0.19
1421,0.18
1422,0.16
1423,0.26
1424,0.27
1425,0.47
1426,0.1
1427,0.22
1428,0.34
1429,0.37
1430,0.64
1431,0.33
1432,0.29
1433,0.45
1434,0.39
1435,0.25
1436,0.23
1437,0.16
1438,0.14
1439,0.14
1440,0.49
1441,0.48
1442,0.3
1443,0.1
1444,0.34
1445,0.34
1446,0.54
1447,0.25
1448,0.47
1449,0.46
1450,0.41
1451,0.52
1452,0.46
1453,0.26
1454,0.19
1455,0.16
1456,0.17
1457,0.1
1458,0.47
1459,0.74
1460,0.97
1461,1.02
1462,0.79
1463,0.81
1464,1.02
1465,0.63
1466,0.92
1467,0.96
1468,0.56
1469,0.85
1470,0.84
1471,0.63
1472,0.73
1473,0.69
1474,1.06
1475,0.69
1476,0.64
1477,0.73
1478,0.68
1479,0.62
1480,0.88
1481,0.46
1482,0.59
1483,0.64
1484,0.61
1485,0.51
1486,0.62
1487,0.66
1488,0.77
1489,0.96
1490,0.46
1491,0.46
1492,0.59
1493,0.89
1494,1.02
1495,1.12
1496,1.03
1497,1.11
1498,1.39
1499,1.16
1500,0.96
1501,1.44
1502,1.33
1503,0.89
1504,0.58
1505,0.45
1506,0.72
1507,0.23
1508,0.28
1509,0.54
1510,0.43
1511,0.45
1512,0.19
1513,0.5
1514,0.33
1515,0.93
1516,0.94
1517,0.34
1518,1.12
1519,0.12
1520,0.09
1521,0.22
1522,0.8
1523,0.64
1524,0.58
1525,0.37
1526,0.55
1527,0.26
1528,0.44
1529,0.43
1530,0.39
1531,0.49
1532,0.44
1533,0.53
1534,0.88
1535,0.76
1536,0.77
1537,0.88
1538,0.65
1539,0.64
1540,0.3
1541,0.16
1542,0.21
1543,0.34
1544,0.08
1545,0.07
1546,0.39
1547,0.61
1548,0.35
1549,0.65
1550,0.45
1551,1.08
1552,0.87
1553,0.43
1554,0.91
1555,1.03
1556,0.77
1557,0.49
1558,0.77
1559,0.56
1560,0.74
1561,0.73
1562,1.05
1563,1.68
1564,1.01
1565,1.04
1566,0.95
1567,0.89
1568,0.75
1569,1.05
1570,1.14
1571,1.06
1572,0.87
1573,1.01
1574,0.4
1575,0.34
1576,0.44
1577,0.67
1578,0.77
1579,0.55
1580,0.43
1581,0.42
1582,0.67
1583,0.73
1584,0.7
1585,0.5
1586,0.59
1587,0.53
1588,0.42
1589,0.5
1590,0.35
1591,0.63
1592,0.35
1593,0.17
1594,0.51
1595,0.56
1596,0.15
1597,0.23
1598,0.59
1599,0.99
1600,1.09
1601,0.6
1602,0.89
1603,0.6
1604,0.51
1605,0.38
1606,0.25
1607,0.41
1608,0.09
1609,0.11
1610,0.15
1611,0.15
1612,0.09
1613,0.11
1614,0.18
1615,0.3
1616,0.19
1617,0.32
1618,0.14
1619,0.28
1620,0.31
1621,0.15
1622,0.28
1623,0.51
1624,0.55
1625,0.6
1626,0.35
1627,0.5
1628,0.22
1629,0.17
1630,0.38
1631,0.36
1632,0.37
1633,0.3
1634,0.43
1635,0.51
1636,0.29
1637,0.5
1638,0.42
1639,0.57
1640,0.32
1641,0.08
1642,0.37
1643,0.35
1644,0.36
1645,0.71
1646,0.79
1647,0.64
1648,0.38
1649,0.45
1650,0.5
1651,0.63
1652,1.03
1653,0.67
1654,0.42
1655,0.4
1656,0.38
1657,0.5
1658,0.36
1659,0.23
1660,0.43
1661,0.28
1662,0.67
1663,0.06
1664,0.18
1665,0.12
1666,0.24
1667,0.63
1668,0.7
1669,0.44
1670,0.53
1671,0.42
1672,0.18
1673,0.13
1674,0.13
1675,0.27
1676,0.82
1677,0.98
1678,0.87
1679,1.09
1680,0.91
1681,0.95
1682,0.75
1683,1.15
1684,0.79
1685,0.94
1686,0.91
1687,1.47
1688,1.37
1689,0.95
1690,1.05
1691,0.89
1692,0.78
1693,0.6
1694,0.58
1695,0.94
1696,0.82
1697,0.93
1698,0.92
1699,0.84
1700,0.92
1701,0.8
1702,0.77
1703,1.0
1704,1.1
1705,1.1
1706,1.21
1707,1.18
1708,1.31
1709,0.7
1710,0.94
1711,0.87
1712,0.82
1713,0.96
1714,0.77
1715,0.81
1716,0.8
1717,1.39
1718,1.28
1719,1.07
1720,1.38
1721,1.17
1722,1.21
1723,1.14
1724,1.32
1725,1.2
1726,0.57
1727,1.13
1728,1.1
1729,0.85
1730,0.66
1731,0.64
1732,0.84
1733,0.58
1734,0.72
1735,0.66
1736,0.83
1737,0.62
1738,0.72
1739,1.01
1740,1.25
1741,1.07
1742,0.61
1743,0.56
1744,0.66
1745,0.71
1746,0.82
1747,0.59
1748,0.86
1749,0.94
1750,0.9
1751,0.65
1752,0.96
1753,0.83
1754,1.07
1755,0.87
1756,1.04
1757,0.89
1758,0.94
1759,0.88
1760,1.02
1761,0.84
1762,0.88
1763,1.06
1764,0.91
1765,0.97
1766,0.81
1767,1.16
1768,0.87
1769,0.62
1770,0.84
1771,0.93
1772,0.88
1773,1.02
1774,0.99
1775,1.11
1776,0.74
1777,0.87
1778,0.56
1779,0.89
1780,1.07
1781,0.88
1782,1.13
1783,1.22
1784,1.09
1785,1.07
1786,1.36
1787,1.07
1788,1.09
1789,1.23
1790,1.41
1791,0.85
1792,1.02
1793,1.1
1794,0.72
1795,0.82
1796,0.68
1797,0.6
1798,0.66
1799,0.93
1800,0.96
1801,1.27
1802,1.0
1803,0.96
1804,0.76
1805,0.64
1806,0.86
1807,0.82
1808,0.8
1809,0.8
1810,0.73
1811,0.52
1812,0.74
1813,0.58
1814,0.73
1815,0.75
1816,0.94
1817,0.9
1818,0.62
1819,0.55
1820,0.84
1821,0.78
1822,0.66
1823,0.78
1824,1.04
1825,0.87
1826,0.68
1827,1.05
1828,0.87
1829,0.53
1830,0.69
1831,0.66
1832,0.55
1833,0.59
1834,0.74
1835,0.88
1836,0.98
1837,1.17
1838,0.95
1839,1.5
1840,0.81
1841,0.88
1842,0.93
1843,0.66
1844,0.88
1845,0.91
1846,0.81
1847,0.8
1848,0.89
1849,1.05
1850,1.41
1851,1.35
1852,1.41
1853,1.19
1854,1.39
1855,0.94
1856,0.86
1857,0.93
1858,0.45
1859,0.37
1860,0.37
1861,0.3
1862,0.19
1863,0.18
1864,0.19
1865,0.12
1866,0.12
1867,0.11
1868,0.11
1869,0.0
1870,0.04
1871,0.1
1872,0.25
1873,0.31
1874,0.29
1875,0.43
1876,0.47
1877,0.09
1878,0.2
1879,0.19
1880,0.22
1881,0.21
1882,0.21
1883,0.27
1884,0.13
1885,0.19
1886,0.33
1887,0.11
1888,0.07
1889,0.05
1890,0.15
1891,0.12
1892,0.31
1893,0.18
1894,0.38
1895,0.26
1896,0.4
1897,0.2
1898,0.32
1899,0.44
1900,0.37
1901,0.55
1902,0.52
1903,0.58
1904,0.32
1905,0.07
1906,0.03
1907,0.31
1908,0.14
1909,0.32
1910,0.16
1911,0.34
1912,0.26
1913,0.21
1914,0.04
1915,0.04
1916,0.14
1917,0.15
1918,0.2
1919,0.34
1920,0.57
1921,0.38
1922,0.62
1923,0.62
1924,0.87
1925,0.62
1926,0.18
1927,0.14
1928,0.05
1929,0.26
1930,0.23
1931,0.36
1932,0.35
1933,0.28
1934,0.25
1935,0.2
1936,0.19
1937,0.15
1938,0.52
1939,0.47
1940,0.05
1941,0.16
1942,0.17
1943,0.08
1944,0.32
1945,0.27
1946,0.35
1947,0.27
1948,0.12
1949,0.31
1950,0.46
1951,0.34
1952,0.17
1953,0.14
1954,0.06
1955,0.26
1956,0.17
1957,0.3
1958,0.17
1959,0.26
1960,0.26
1961,0.24
1962,0.4
1963,0.28
1964,0.09
1965,0.11
1966,0.62
1967,0.57
1968,0.58
1969,1.03
1970,0.74
1971,0.65
1972,0.88
1973,0.58
1974,0.19
1975,0.82
1976,0.43
1977,0.32
1978,0.26
1979,0.54
1980,0.42
1981,0.64
1982,0.29
1983,0.25
1984,0.48
1985,0.41
1986,0.55
1987,0.35
1988,0.44
1989,0.14
1990,0.31
1991,0.49
1992,0.35
1993,0.23
1994,0.2
1995,0.22
1996,0.15
1997,0.42
1998,0.32
1999,0.38
2000,0.36
2001,0.17
2002,0.22
2003,0.17
2004,0.27
2005,0.62
2006,0.41
2007,0.44
2008,0.4
2009,0.2
2010,0.2
2011,0.31
2012,0.14
2013,0.45
2014,0.61
2015,0.54
2016,0.32
2017,0.21
2018,0.08
2019,0.43
2020,0.34
2021,0.63
2022,0.51
2023,0.61
2024,0.45
2025,0.4
2026,0.58
2027,0.26
2028,0.27
2029,0.28
2030,0.66
2031,0.89
2032,0.3
2033,0.29
2034,0.37
2035,0.4
2036,0.47
2037,0.3
2038,0.3
2039,0.48
2040,0.75
2041,0.47
2042,0.18
2043,0.56
2044,0.65
2045,0.33
2046,0.61
2047,0.6
2048,0.52
2049,0.46
2050,0.2
2051,0.5
2052,0.61
2053,0.89
2054,0.88
2055,0.73
2056,0.55
2057,0.48
2058,0.57
2059,0.58
2060,0.47
2061,0.47
2062,0.94
2063,0.6
2064,0.64
2065,0.52
2066,0.39
2067,0.17
2068,0.11
2069,0.19
2070,0.17
2071,0.17
2072,0.66
2073,0.69
2074,0.77
2075,0.74
2076,1.14
2077,0.67
2078,0.86
2079,0.61
2080,0.71
2081,0.52
2082,0.63
2083,0.58
2084,0.34
2085,0.22
2086,0.51
2087,0.47
2088,0.26
2089,0.47
2090,0.4
2091,0.56
2092,0.59
2093,0.71
2094,0.29
2095,0.51
2096,0.2
2097,0.2
2098,0.61
2099,0.97
2100,0.73
2101,0.47
2102,0.42
2103,0.37
2104,0.7
2105,0.76
2106,1.06
2107,1.01
2108,0.58
2109,0.46
2110,0.47
2111,0.95
2112,0.55
2113,0.98
2114,1.09
2115,0.88
2116,0.59
2117,0.42
2118,0.47
2119,0.51
2120,0.41
2121,0.35
2122,0.51
2123,0.55
2124,0.89
2125,0.73
2126,0.39
2127,0.23
2128,0.39
2129,0.45
2130,0.62
2131,0.7
2132,0.55
2133,0.63
2134,0.57
2135,0.23
2136,0.22
2137,0.07
2138,0.47
2139,0.36
2140,0.63
