,action 1
0,5.0
1,2.26
2,1.37
3,4.28
4,3.55
5,3.48
6,2.42
7,3.17
8,5.08
9,4.38
10,4.16
11,5.45
12,3.45
13,3.29
14,3.18
15,3.02
16,5.53
17,4.3
18,3.89
19,3.81
20,6.74
21,4.35
22,3.68
23,4.03
24,3.84
25,5.3
26,4.58
27,3.77
28,4.45
29,4.24
30,5.58
31,5.2
32,3.99
33,4.19
34,5.41
35,6.53
36,6.02
37,5.28
38,7.5
39,6.16
40,5.31
41,5.6
42,5.64
43,5.79
44,7.75
45,6.12
46,5.75
47,5.63
48,6.99
49,6.5
50,5.68
51,6.44
52,4.33
53,7.61
54,6.35
55,6.22
56,5.95
57,6.07
58,5.72
59,6.88
60,5.77
61,6.61
62,6.38
63,8.0
64,6.3
65,6.89
66,4.48
67,5.44
68,6.19
69,8.12
70,6.81
71,7.64
72,5.19
73,6.23
74,6.72
75,6.2
76,7.08
77,7.85
78,6.56
79,8.47
80,8.71
81,6.4
82,6.89
83,6.43
84,5.5
85,6.26
86,8.22
87,7.77
88,6.3
89,6.62
90,5.87
91,6.47
92,6.47
93,6.35
94,7.0
95,6.64
96,7.76
97,7.76
98,4.75
99,6.93
100,8.15
101,6.26
102,9.66
103,7.03
104,7.19
105,5.57
106,5.43
107,6.43
108,5.68
109,8.82
110,5.51
111,5.17
112,8.34
113,7.33
114,8.51
115,9.34
116,7.44
117,8.01
118,7.91
119,7.25
120,7.4
121,9.82
122,8.03
123,6.17
124,8.19
125,7.9
126,7.73
127,6.21
128,8.21
129,8.33
130,10.0
131,8.18
132,9.42
133,9.55
134,3.77
135,5.77
136,9.8
137,10.48
138,9.7
139,10.01
140,8.56
141,9.24
142,9.36
143,10.33
144,9.08
145,8.28
146,9.71
147,9.02
148,8.69
149,9.6
150,9.81
151,10.82
152,9.93
153,8.31
154,9.11
155,9.71
156,9.13
157,10.1
158,9.96
159,9.75
160,8.39
161,9.27
162,9.47
163,9.41
164,9.38
165,9.63
166,9.49
167,9.45
168,10.64
169,10.54
170,11.04
171,10.61
172,9.36
173,10.04
174,9.59
175,9.68
176,9.0
177,9.69
178,10.21
179,8.91
180,9.87
181,11.1
182,10.12
183,10.16
184,9.54
185,9.55
186,9.27
187,9.63
188,10.5
189,9.18
190,10.06
191,9.7
192,9.9
193,9.89
194,10.89
195,9.61
196,9.69
197,10.39
198,9.73
199,10.5
200,9.66
201,9.05
