,steps
0,14.3
1,13.328000000000005
2,15.241
3,14.460000000000003
4,22.0
5,22.293000000000003
6,16.796
7,14.228000000000002
8,13.287000000000003
9,15.251000000000001
10,17.410999999999998
11,22.342
12,21.756000000000004
13,20.5
14,22.965999999999998
15,28.829999999999995
16,20.43
17,18.529
18,15.639
19,22.881
20,25.151000000000007
21,23.769000000000002
22,21.999000000000002
23,22.028000000000002
24,16.778
25,22.263999999999996
26,22.649
27,24.525
28,21.991999999999994
29,19.909
30,18.229
31,22.500999999999998
32,27.314
33,22.008000000000003
34,18.79
35,20.527
36,20.028
37,16.728
38,19.558999999999997
39,20.979
40,23.977999999999998
41,19.433999999999997
42,17.248
43,19.405
44,22.586000000000002
45,20.066000000000003
46,20.991999999999997
47,21.393999999999995
48,22.487
49,22.692999999999998
50,28.555
51,19.841
52,28.635
53,26.079999999999995
54,24.649
55,25.679000000000002
56,22.844
57,23.16
58,22.285000000000004
59,22.539
60,26.46
61,22.223000000000003
62,19.980999999999998
63,20.916999999999998
64,23.690000000000005
65,27.511000000000003
66,32.260999999999996
67,24.984
68,26.005
69,24.353999999999996
70,20.936999999999998
71,21.845
72,28.870000000000005
73,25.96
74,29.388000000000005
75,28.163999999999998
76,31.024
77,30.685
78,30.567000000000004
79,31.539
80,33.093
81,33.661
82,31.098000000000003
83,23.335
84,37.967
85,29.760999999999996
86,29.651999999999997
87,29.576000000000004
88,32.266
89,31.449
90,29.972
91,29.067999999999994
92,29.318
93,30.590000000000003
94,27.706999999999997
95,26.075999999999993
96,33.07599999999999
97,26.721999999999998
98,42.842
99,34.952999999999996
100,35.907
101,42.58099999999999
102,34.732
103,31.633000000000003
104,34.101000000000006
105,41.882000000000005
106,38.56199999999999
107,35.644
108,47.03499999999999
109,32.63099999999999
110,40.92100000000001
111,40.044999999999995
112,34.933
113,37.306
114,30.831000000000003
115,27.566000000000003
116,37.307
117,32.549
118,30.491000000000003
119,33.981
120,33.891999999999996
121,32.135999999999996
122,26.700000000000003
123,30.203999999999997
124,31.381000000000004
125,28.892999999999997
126,35.151999999999994
127,38.76500000000001
128,28.476999999999997
129,25.380999999999993
130,25.557
131,31.762000000000004
132,34.927
133,27.648000000000003
134,46.11999999999999
135,40.476
136,32.857
137,27.049999999999997
138,26.576000000000004
139,25.794
140,24.219999999999995
141,25.191
142,24.602999999999998
143,26.494
144,26.133999999999997
145,25.592
146,24.671999999999997
147,25.226000000000003
148,24.523999999999997
149,25.348000000000003
150,25.901999999999997
151,25.97199999999999
152,25.607000000000003
153,26.664
154,26.283
155,26.328000000000003
156,26.473000000000003
157,26.221
158,25.877
159,26.565
160,29.858
161,26.008000000000003
162,26.354
163,28.386999999999997
164,26.237000000000002
165,26.641000000000005
166,25.277
167,25.504
168,26.745000000000005
169,26.022
170,27.247999999999998
171,27.191
172,26.187
173,26.466000000000005
174,26.58
175,26.877
176,26.179999999999996
177,26.299999999999997
178,26.653000000000002
179,27.024
180,26.467000000000002
181,26.13
182,26.244
183,27.688999999999997
184,26.037
185,25.98
186,25.751000000000005
187,26.522999999999996
188,27.984
189,27.367000000000004
190,27.044
191,27.302000000000003
192,26.640999999999995
