,action 0
413,0.16
414,0.36
415,0.14
416,0.2
417,0.27
418,0.17
419,0.21
420,0.1
421,0.16
422,0.04
423,0.34
424,0.39
425,0.12
426,0.45
427,0.61
428,0.56
429,0.52
430,0.57
431,0.35
432,0.31
433,0.12
434,0.33
435,0.43
436,0.67
437,0.52
438,0.35
439,0.37
440,0.36
441,0.63
442,0.51
443,0.45
444,0.84
445,0.79
446,0.47
447,0.94
448,0.66
449,0.8
450,0.61
451,1.08
452,0.36
453,0.54
454,0.54
455,0.45
456,0.62
457,0.63
458,0.16
459,0.7
460,0.48
461,0.42
462,0.37
463,0.44
464,0.41
465,0.36
466,0.55
467,0.43
468,0.56
469,0.2
470,0.53
471,0.27
472,0.39
473,0.78
474,0.59
475,0.35
476,0.51
477,0.25
478,0.51
479,0.24
480,0.27
481,0.53
482,0.53
483,0.76
484,0.9
485,0.77
486,0.47
487,0.95
488,0.72
489,0.61
490,0.25
491,0.31
492,0.38
493,0.39
494,0.21
495,0.14
496,0.58
497,0.48
498,0.22
499,0.39
500,0.62
501,0.68
502,0.17
503,0.49
504,0.27
505,0.24
506,0.45
507,0.71
508,0.19
509,0.47
510,0.09
511,0.26
512,0.59
513,0.49
514,0.25
515,0.47
516,0.62
517,0.81
518,0.6
519,0.37
520,0.64
521,0.8
522,0.68
523,0.25
524,0.26
525,0.25
526,0.4
527,0.38
528,0.44
529,0.47
530,0.09
531,0.1
532,0.01
533,0.0
534,0.0
535,0.05
536,0.11
537,0.22
538,0.09
539,0.13
540,0.4
541,0.45
542,0.45
543,0.1
544,0.11
545,0.13
546,0.23
547,0.12
548,0.15
549,0.24
550,0.3
551,0.32
552,0.36
553,0.16
554,0.1
555,0.13
556,0.0
557,0.08
558,0.26
559,0.2
560,0.03
561,0.25
562,0.47
563,0.43
564,0.29
565,0.45
566,0.74
567,0.55
568,0.52
569,0.94
570,0.57
571,0.46
572,0.77
573,0.72
574,0.33
575,0.26
576,0.49
577,0.59
578,0.5
579,0.67
580,0.58
581,0.55
582,0.18
583,0.18
584,0.39
585,0.19
586,0.25
587,0.2
588,0.45
589,0.08
590,0.26
591,0.23
592,0.28
593,0.27
594,0.19
595,0.1
596,0.2
597,0.51
598,0.53
599,0.42
600,0.22
601,0.52
602,0.75
603,0.65
604,0.72
605,0.47
606,0.5
607,0.36
608,0.31
609,0.31
610,0.13
611,0.53
612,0.87
613,0.42
614,0.46
615,0.89
616,0.46
617,0.53
618,0.66
619,0.4
620,0.27
621,0.08
622,0.27
623,0.22
624,0.28
625,0.52
626,0.41
627,0.5
628,0.91
629,0.84
630,0.28
631,0.05
632,0.25
633,0.43
634,0.31
635,0.07
636,0.04
637,0.1
638,0.25
639,0.0
640,0.09
641,0.03
642,0.0
643,0.25
644,0.59
645,0.33
646,0.36
647,0.36
648,0.54
649,0.22
650,0.22
651,0.16
652,0.26
653,0.03
654,0.02
655,0.13
656,0.13
657,0.06
658,0.16
659,0.32
660,0.21
661,0.12
662,0.16
663,0.05
664,0.14
665,0.36
666,0.55
667,0.21
668,0.0
669,0.05
670,0.11
671,0.12
672,0.35
673,0.51
674,0.25
675,0.2
676,0.02
677,0.27
678,0.02
679,0.0
680,0.09
681,0.23
682,0.47
683,0.46
684,0.3
685,0.58
686,0.66
687,0.26
688,0.42
689,0.59
690,0.58
691,0.74
692,1.01
693,0.86
694,0.51
695,0.61
696,0.65
697,0.32
698,0.23
699,0.25
700,0.06
701,0.16
702,0.52
703,0.49
704,0.44
705,0.56
706,0.18
707,0.26
708,0.31
709,0.27
710,0.07
711,0.02
712,0.02
713,0.05
714,0.03
715,0.06
716,0.03
717,0.19
718,0.12
719,0.23
720,0.21
721,0.19
722,0.12
723,0.09
724,0.11
725,0.05
726,0.02
727,0.0
728,0.01
729,0.12
730,0.43
731,0.33
732,0.11
733,0.1
734,0.42
735,0.45
736,0.67
737,0.49
738,0.59
739,0.57
740,0.49
741,0.52
742,0.73
743,1.04
744,0.96
745,0.6
746,0.47
747,0.41
748,0.45
749,0.28
750,0.53
751,0.34
752,0.52
753,0.5
754,0.48
755,0.35
756,0.36
757,0.32
758,0.33
759,0.1
760,0.3
761,0.45
762,0.52
763,0.76
764,0.45
765,0.32
766,0.27
767,0.17
768,0.24
769,0.22
770,0.24
771,0.2
772,0.12
773,0.11
774,0.2
775,0.19
776,0.34
777,0.27
778,0.13
779,0.25
780,0.18
781,0.56
782,0.14
783,0.58
784,0.41
785,0.13
786,0.38
787,0.61
788,0.45
789,0.4
790,0.44
791,0.51
792,0.54
793,0.53
794,0.9
795,0.63
796,0.31
797,0.5
798,0.58
799,0.65
800,0.64
801,0.59
802,1.06
803,1.78
804,1.2
805,0.7
806,0.35
807,0.31
808,0.01
809,0.01
810,0.05
811,0.06
812,0.18
813,0.17
814,0.52
815,0.59
816,0.29
817,0.42
818,0.19
819,0.03
820,0.08
821,0.29
822,0.39
823,0.19
824,0.54
825,0.72
826,0.58
827,0.97
828,0.49
829,0.47
830,0.26
831,0.49
832,0.95
833,0.42
834,0.46
835,0.53
836,0.31
837,0.47
838,0.71
839,0.6
840,0.2
841,0.43
842,0.78
843,0.6
844,0.97
845,0.6
846,0.49
847,0.38
848,0.44
849,0.41
850,0.06
851,0.14
852,0.45
853,0.82
854,1.04
855,0.79
856,0.62
857,1.05
858,0.68
859,0.4
860,0.5
861,0.56
862,0.44
863,0.25
864,0.13
865,0.11
866,0.17
867,0.24
868,0.39
869,0.45
870,0.68
871,0.55
872,0.45
873,0.83
874,0.66
875,0.6
876,0.35
877,0.16
878,0.33
879,0.35
880,0.31
881,0.35
882,0.22
883,0.19
884,0.52
885,0.32
886,0.22
887,0.13
888,0.15
889,0.16
890,0.1
891,0.16
892,0.12
893,0.15
894,0.26
895,0.13
896,0.12
897,0.15
898,0.07
899,0.09
900,0.06
901,0.25
902,0.43
903,0.16
904,0.27
905,0.23
906,0.14
907,0.14
908,0.09
909,0.06
910,0.05
911,0.03
912,0.03
913,0.14
914,0.16
915,0.19
916,0.11
917,0.32
918,0.43
919,0.28
920,0.39
921,0.2
922,0.12
923,0.5
924,0.21
925,0.17
926,0.36
927,0.5
928,0.64
929,0.68
930,0.73
931,1.04
932,0.98
933,0.73
934,1.13
935,0.72
936,0.97
937,1.62
938,1.28
939,0.97
940,0.93
941,0.48
942,0.81
943,0.99
944,0.76
945,0.66
946,0.7
947,0.57
948,0.59
949,0.67
950,0.82
951,0.57
952,0.69
953,0.63
954,1.08
955,0.75
956,1.25
957,0.52
958,0.35
959,0.55
960,0.48
961,0.18
962,0.18
963,0.05
964,0.1
965,0.27
966,0.0
967,0.13
968,0.29
969,0.08
970,0.31
971,0.48
972,0.32
973,0.27
974,0.19
975,0.02
976,0.07
977,0.49
978,0.68
979,0.28
980,0.55
981,0.44
982,0.49
983,0.75
984,0.67
985,0.56
986,0.79
987,0.74
988,0.88
989,1.7
990,0.47
991,0.89
992,1.01
993,0.73
994,0.87
995,0.83
996,0.51
997,0.63
998,0.93
999,0.37
1000,0.58
1001,0.37
1002,0.44
1003,0.74
1004,0.67
1005,0.34
1006,0.34
1007,0.26
1008,0.14
1009,0.42
1010,0.45
1011,0.28
1012,0.45
1013,0.45
1014,0.46
1015,0.69
1016,0.78
1017,0.8
1018,0.41
1019,0.46
1020,0.15
1021,0.36
1022,0.49
1023,0.43
1024,0.51
1025,0.2
1026,0.17
1027,0.19
1028,0.3
1029,0.38
1030,0.49
1031,0.23
1032,0.08
1033,0.43
1034,0.42
1035,0.25
1036,0.48
1037,0.86
1038,0.55
1039,0.31
1040,0.36
1041,0.51
1042,0.29
1043,0.38
1044,0.53
1045,0.46
1046,0.25
1047,0.53
1048,0.11
1049,0.18
1050,0.05
1051,0.3
1052,0.37
1053,0.35
1054,0.53
1055,0.94
1056,0.88
1057,0.45
1058,0.57
1059,0.73
1060,0.8
1061,0.62
1062,0.44
1063,0.38
1064,0.29
1065,0.68
1066,0.88
1067,1.1
1068,0.59
1069,0.46
1070,0.45
1071,0.16
1072,0.16
1073,0.44
1074,0.47
1075,0.2
1076,0.15
1077,0.38
1078,0.49
1079,0.11
1080,0.26
1081,0.34
1082,0.23
1083,0.35
1084,0.51
1085,0.46
1086,0.36
1087,0.51
1088,0.54
1089,0.68
1090,0.67
1091,0.64
1092,0.56
1093,0.73
1094,0.96
1095,0.41
1096,0.52
1097,0.52
1098,0.19
1099,0.15
1100,0.11
1101,0.22
1102,0.7
1103,0.38
1104,0.49
1105,0.17
1106,0.16
1107,0.23
1108,0.23
1109,0.18
1110,0.62
1111,0.26
1112,0.34
1113,0.51
1114,0.38
1115,0.44
1116,0.43
1117,0.17
1118,0.16
1119,0.2
1120,0.19
1121,0.31
1122,0.46
1123,0.26
1124,0.53
1125,0.38
1126,0.33
1127,0.21
1128,0.35
1129,0.38
1130,0.61
1131,0.57
1132,0.4
1133,0.5
1134,0.29
1135,0.07
1136,0.19
1137,0.53
1138,0.64
1139,0.29
1140,0.55
1141,0.5
1142,0.62
1143,0.92
1144,0.79
1145,0.6
1146,0.86
1147,0.55
1148,0.42
1149,0.73
1150,0.81
1151,0.48
1152,0.52
1153,0.29
1154,0.18
1155,0.19
1156,0.38
1157,0.36
1158,0.46
1159,0.56
1160,0.99
1161,0.75
1162,0.69
1163,0.5
1164,0.58
1165,0.91
1166,0.56
1167,0.23
1168,0.28
1169,0.37
1170,0.47
1171,0.81
1172,0.33
1173,0.33
1174,0.15
1175,0.18
1176,0.27
1177,0.24
1178,0.22
1179,0.09
1180,0.1
1181,0.46
1182,0.28
1183,0.19
1184,0.12
1185,0.26
1186,0.22
1187,0.1
1188,0.46
1189,0.41
1190,0.14
1191,0.26
1192,0.47
1193,0.23
1194,0.13
1195,0.46
1196,0.39
1197,0.24
1198,0.11
1199,0.36
1200,0.53
1201,0.64
1202,0.69
1203,0.22
1204,0.4
1205,0.23
1206,0.36
1207,0.46
1208,0.68
1209,0.74
1210,0.8
1211,0.56
1212,0.58
1213,0.39
1214,0.18
1215,0.48
1216,0.9
1217,1.0
1218,0.44
1219,0.12
1220,0.06
1221,0.34
1222,0.38
1223,0.31
1224,0.49
1225,0.35
1226,0.23
1227,0.18
1228,0.13
1229,0.18
1230,0.16
1231,0.07
1232,0.17
1233,0.18
1234,0.21
1235,0.35
1236,0.7
1237,0.25
1238,0.57
1239,0.64
1240,0.6
1241,0.47
1242,0.12
1243,0.16
1244,0.3
1245,0.38
1246,0.18
1247,0.1
1248,0.39
1249,0.47
1250,0.45
1251,0.45
1252,0.39
1253,0.34
1254,0.23
1255,0.45
1256,0.44
1257,0.33
1258,0.39
1259,0.43
1260,0.38
1261,0.28
1262,0.25
1263,0.15
1264,0.49
1265,0.37
1266,0.23
1267,0.19
1268,0.23
1269,0.1
1270,0.0
1271,0.2
1272,0.07
1273,0.21
1274,0.6
1275,0.37
1276,0.5
1277,0.57
1278,0.52
1279,0.38
1280,0.28
1281,0.07
1282,0.13
1283,0.18
1284,0.48
1285,0.43
1286,0.46
1287,0.42
1288,0.61
1289,0.27
1290,0.4
1291,0.36
1292,0.73
1293,0.7
1294,0.47
1295,0.77
1296,0.87
1297,0.68
1298,0.34
1299,0.76
1300,0.63
1301,0.48
1302,0.66
1303,0.99
1304,0.87
1305,0.43
1306,0.42
1307,0.47
1308,0.34
1309,0.75
1310,0.56
1311,0.53
1312,0.43
1313,0.32
1314,0.17
1315,0.43
1316,0.15
1317,0.31
1318,0.53
1319,0.48
1320,0.4
1321,0.59
1322,0.35
1323,0.12
1324,0.09
1325,0.37
1326,0.53
1327,0.45
1328,0.27
1329,0.16
1330,0.36
1331,0.4
1332,0.59
1333,0.44
1334,0.37
1335,0.42
1336,0.36
1337,0.34
1338,0.13
1339,0.26
1340,0.11
1341,0.13
1342,0.28
1343,0.47
1344,0.48
1345,0.37
1346,0.37
1347,0.45
1348,0.42
1349,0.7
1350,0.02
1351,0.48
1352,0.09
1353,0.37
1354,0.42
1355,0.43
1356,0.92
1357,0.95
1358,0.64
1359,0.71
1360,0.6
1361,0.5
1362,0.53
1363,0.58
1364,0.45
1365,0.38
1366,0.4
1367,0.6
1368,0.25
1369,0.11
1370,0.19
1371,0.22
1372,0.26
1373,0.15
1374,0.27
1375,0.26
1376,0.27
1377,0.25
1378,0.27
1379,0.34
1380,0.12
1381,0.25
1382,0.28
1383,0.24
1384,0.21
1385,0.66
1386,0.64
1387,0.49
1388,0.66
1389,0.47
1390,0.54
1391,0.58
1392,0.43
1393,0.83
1394,0.71
1395,0.72
1396,0.54
1397,0.54
1398,0.36
1399,0.22
1400,0.25
1401,0.18
1402,0.06
1403,0.19
1404,0.42
1405,0.26
1406,0.16
1407,0.17
1408,0.23
1409,0.18
1410,0.17
1411,0.25
1412,0.17
1413,0.32
1414,0.19
1415,0.25
1416,0.04
1417,0.27
1418,0.11
1419,0.28
1420,0.31
1421,0.15
1422,0.37
1423,0.32
1424,0.13
1425,0.31
1426,0.47
1427,0.86
1428,0.3
1429,0.43
1430,0.59
1431,0.49
1432,0.77
1433,1.2
1434,0.66
1435,0.36
1436,0.33
1437,0.33
1438,0.37
1439,0.06
1440,0.3
1441,0.45
1442,0.32
1443,0.21
1444,0.27
1445,0.58
1446,0.04
1447,0.06
1448,0.1
1449,0.03
1450,0.07
1451,0.21
1452,0.27
1453,0.26
1454,0.32
1455,0.44
1456,0.11
1457,0.5
1458,0.61
1459,0.7
1460,0.94
1461,1.39
1462,0.57
1463,0.61
1464,0.63
1465,0.79
1466,0.72
1467,1.02
1468,0.73
1469,1.08
1470,0.72
1471,0.8
1472,0.69
1473,0.79
1474,0.43
1475,0.31
1476,0.2
1477,0.17
1478,0.19
1479,0.13
1480,0.85
1481,0.52
1482,0.7
1483,0.53
1484,0.48
1485,0.23
1486,0.04
1487,0.13
1488,0.02
1489,0.17
1490,0.08
1491,0.18
1492,0.3
1493,0.4
1494,0.13
1495,0.47
1496,0.26
1497,0.13
1498,0.21
1499,0.74
1500,0.41
1501,0.59
1502,0.62
1503,0.48
1504,1.04
1505,1.29
1506,1.0
1507,0.39
1508,0.27
1509,0.13
1510,0.22
1511,0.07
1512,0.24
1513,0.24
1514,0.39
1515,0.51
1516,0.21
1517,0.36
1518,0.26
1519,0.88
1520,0.66
1521,0.95
1522,0.61
1523,0.27
1524,0.49
1525,0.54
1526,0.34
1527,0.53
1528,0.12
1529,0.2
1530,0.15
1531,0.62
1532,0.42
1533,0.67
1534,0.46
1535,0.72
1536,0.55
1537,0.48
1538,0.41
1539,0.72
1540,1.09
1541,0.79
1542,0.9
1543,1.06
1544,0.79
1545,0.84
1546,0.91
1547,0.65
1548,0.74
1549,1.15
1550,0.79
1551,1.22
1552,0.68
1553,0.58
1554,0.64
1555,0.21
1556,0.58
1557,0.75
1558,0.68
1559,0.33
1560,0.33
1561,0.14
1562,0.15
1563,0.23
1564,0.32
1565,0.42
1566,0.42
1567,0.49
1568,0.19
1569,0.2
1570,0.18
1571,0.35
1572,0.4
1573,0.22
1574,0.17
1575,0.14
1576,0.26
1577,0.26
1578,0.14
1579,0.2
1580,0.07
1581,0.04
1582,0.2
1583,0.08
1584,0.0
1585,0.04
1586,0.01
1587,0.02
1588,0.05
1589,0.13
1590,0.17
1591,0.65
1592,0.39
1593,0.44
1594,0.81
1595,0.77
1596,0.95
1597,0.73
1598,0.89
1599,0.78
1600,0.74
1601,0.64
1602,0.69
1603,0.96
1604,0.97
1605,0.71
1606,0.33
1607,0.6
1608,0.4
1609,0.47
1610,0.38
1611,0.46
1612,0.31
1613,0.39
1614,0.25
1615,0.38
1616,0.5
1617,0.37
1618,0.43
1619,0.48
1620,0.5
1621,0.82
1622,0.71
1623,0.79
1624,1.07
1625,0.67
1626,0.5
1627,0.36
1628,0.32
1629,0.29
1630,0.28
1631,0.37
1632,0.32
1633,0.28
1634,0.05
1635,0.0
1636,0.18
1637,0.31
1638,0.34
1639,0.23
1640,0.14
1641,0.36
1642,0.28
1643,0.07
1644,0.13
1645,0.04
1646,0.06
1647,0.21
1648,0.16
1649,0.32
1650,0.37
1651,0.1
1652,0.03
1653,0.05
1654,0.19
1655,0.22
1656,0.39
1657,0.21
1658,0.0
1659,0.24
1660,0.45
1661,0.18
1662,0.01
1663,0.0
1664,0.06
1665,0.09
1666,0.09
1667,0.14
1668,0.09
1669,0.09
1670,0.08
1671,0.12
1672,0.19
1673,0.2
1674,0.23
1675,0.19
1676,0.15
1677,0.03
1678,0.07
1679,0.04
1680,0.12
1681,0.15
1682,0.22
1683,0.07
1684,0.21
1685,0.7
1686,0.51
1687,0.04
1688,0.25
1689,0.43
1690,0.73
1691,0.54
1692,0.64
1693,0.68
1694,0.4
1695,0.49
1696,0.86
1697,0.16
1698,0.04
1699,0.17
1700,0.13
1701,0.09
1702,0.16
1703,0.09
1704,0.33
1705,0.23
1706,0.1
1707,0.44
1708,0.19
1709,0.21
1710,0.39
1711,0.32
1712,0.37
1713,0.17
1714,0.28
1715,0.19
1716,0.05
1717,0.41
1718,0.04
1719,0.17
1720,0.15
1721,0.56
1722,0.11
1723,0.24
1724,0.47
1725,0.4
1726,0.44
1727,0.62
1728,0.51
1729,0.48
1730,0.4
1731,0.54
1732,0.46
1733,0.41
1734,0.45
1735,0.5
1736,0.58
1737,0.61
1738,0.23
1739,0.16
1740,0.4
1741,0.38
1742,0.63
1743,0.46
1744,0.59
1745,0.29
1746,0.29
1747,0.49
1748,0.53
1749,0.5
1750,0.74
1751,0.48
1752,0.51
1753,0.33
1754,0.33
1755,0.4
1756,0.53
1757,0.62
1758,0.44
1759,0.82
1760,0.61
1761,0.47
1762,0.68
1763,0.35
1764,0.23
1765,0.28
1766,0.12
1767,0.38
1768,0.35
1769,0.25
1770,0.74
1771,0.55
1772,0.43
1773,0.59
1774,0.44
1775,0.6
1776,0.44
1777,0.37
1778,0.24
1779,0.26
1780,0.4
1781,0.05
1782,0.07
1783,0.12
1784,0.46
1785,0.38
1786,0.14
1787,0.23
1788,0.29
1789,0.39
1790,0.88
1791,0.68
1792,0.87
1793,1.05
1794,0.99
1795,0.8
1796,0.78
1797,0.77
1798,1.09
1799,0.93
1800,0.81
1801,0.37
1802,0.5
1803,1.04
1804,1.08
1805,1.11
1806,1.54
1807,1.33
1808,1.36
1809,0.84
1810,0.97
1811,1.04
1812,1.0
1813,1.01
1814,0.78
1815,0.47
1816,0.47
1817,0.66
1818,0.63
1819,0.56
1820,0.92
1821,0.65
1822,0.67
1823,0.78
1824,0.5
1825,0.9
1826,0.49
1827,0.53
1828,0.68
1829,0.48
1830,0.5
1831,0.86
1832,0.49
1833,0.3
1834,0.1
1835,0.18
1836,0.38
1837,0.34
1838,0.56
1839,0.36
1840,0.84
1841,0.76
1842,0.43
1843,0.61
1844,0.82
1845,0.42
1846,0.47
1847,0.31
1848,0.08
1849,0.68
1850,0.33
1851,0.22
1852,0.24
1853,0.24
1854,0.16
1855,0.27
1856,0.09
1857,0.06
1858,0.36
1859,0.29
1860,0.17
1861,0.09
1862,0.33
1863,0.12
1864,0.17
1865,0.12
1866,0.29
1867,0.32
1868,0.3
1869,0.09
1870,0.16
1871,0.33
1872,0.08
1873,0.92
1874,0.47
1875,0.92
1876,0.68
1877,0.86
1878,0.54
1879,1.01
1880,0.78
1881,0.43
1882,0.11
1883,0.4
1884,0.57
1885,0.64
1886,0.44
1887,0.36
1888,0.52
1889,0.61
1890,0.55
1891,0.78
1892,0.47
1893,0.11
1894,0.14
1895,0.11
1896,0.1
1897,0.34
1898,0.41
1899,0.24
1900,0.24
1901,0.24
1902,0.36
1903,0.13
1904,0.25
1905,0.15
1906,0.42
1907,0.09
1908,0.56
1909,0.27
1910,0.11
1911,0.37
1912,0.36
1913,0.41
1914,0.44
1915,0.63
1916,0.54
1917,0.41
1918,0.3
1919,0.17
1920,0.05
1921,0.26
1922,0.95
1923,0.83
1924,0.84
1925,0.7
1926,0.55
1927,0.4
1928,0.8
1929,0.58
1930,0.82
1931,1.37
1932,0.74
1933,0.54
1934,0.93
1935,0.62
1936,0.65
1937,0.65
1938,0.53
1939,0.66
1940,0.63
1941,0.75
1942,1.24
1943,1.05
1944,0.65
1945,0.11
1946,0.34
1947,0.59
1948,0.44
1949,1.17
1950,0.94
1951,0.48
1952,0.04
1953,0.18
1954,0.75
1955,0.07
1956,0.03
1957,0.04
1958,0.09
1959,0.07
1960,0.07
1961,0.0
1962,0.06
1963,0.13
1964,0.04
1965,0.16
1966,0.41
1967,0.36
1968,0.11
1969,0.09
1970,0.14
1971,0.11
1972,0.17
1973,0.12
1974,0.04
1975,0.07
1976,0.08
1977,0.09
1978,0.29
1979,0.11
1980,0.16
1981,0.09
1982,0.16
1983,0.57
1984,0.33
1985,0.49
1986,0.31
1987,0.12
1988,0.02
1989,0.01
1990,0.08
1991,0.1
1992,0.02
1993,0.02
1994,0.08
1995,0.0
1996,0.13
1997,0.45
1998,0.18
1999,0.11
2000,0.03
2001,0.0
2002,0.0
2003,0.03
2004,0.08
2005,0.11
2006,0.02
2007,0.16
2008,0.06
2009,0.4
2010,0.23
2011,0.02
2012,0.44
2013,0.42
2014,0.13
2015,0.75
2016,0.69
2017,0.42
2018,0.54
2019,0.14
2020,1.01
2021,0.22
2022,0.04
2023,0.02
2024,0.01
2025,0.33
2026,0.74
2027,0.41
2028,0.46
2029,0.33
2030,0.17
2031,0.2
2032,0.17
2033,0.31
2034,0.5
2035,0.44
2036,0.48
2037,0.36
2038,0.4
2039,0.36
2040,0.51
2041,0.48
2042,0.56
2043,0.57
2044,0.32
2045,0.24
2046,0.22
2047,0.28
2048,0.37
2049,0.6
2050,0.21
2051,0.06
2052,0.14
2053,0.03
2054,0.05
2055,0.07
2056,0.02
2057,0.0
2058,0.03
2059,0.09
2060,0.22
2061,0.16
2062,0.31
2063,0.34
2064,0.28
2065,0.12
2066,0.34
2067,0.3
2068,0.17
2069,0.59
2070,0.68
2071,0.71
2072,0.42
2073,0.33
2074,0.28
2075,0.21
2076,0.33
2077,0.15
2078,0.03
2079,0.02
2080,0.07
2081,0.05
2082,0.06
2083,0.1
2084,0.11
2085,0.4
2086,0.46
2087,0.34
2088,0.48
2089,0.19
2090,0.07
2091,0.26
2092,0.4
2093,0.29
2094,0.92
2095,0.63
2096,0.93
2097,1.32
2098,0.94
2099,0.44
2100,0.35
2101,0.71
2102,0.61
2103,0.4
2104,0.08
2105,0.03
2106,0.06
2107,0.06
2108,0.11
2109,0.11
2110,0.18
2111,0.2
2112,0.05
2113,0.12
2114,0.08
2115,0.16
2116,0.16
2117,0.4
2118,0.33
2119,1.09
2120,1.04
2121,0.49
2122,1.03
2123,0.97
2124,1.04
2125,0.53
2126,0.67
2127,0.4
2128,0.39
2129,0.62
2130,0.27
2131,0.3
2132,0.1
2133,0.3
2134,0.1
2135,0.19
2136,0.21
2137,0.13
2138,0.2
2139,0.35
2140,0.15
