,action 0
0,3.0
1,2.87
2,6.05
3,4.35
4,5.22
5,5.52
6,7.11
7,5.72
8,3.18
9,4.98
10,8.35
11,5.74
12,8.49
13,4.57
14,3.02
15,7.23
16,5.16
17,3.7
18,4.81
19,3.36
20,3.04
21,8.79
22,7.62
23,5.05
24,4.85
25,6.21
26,5.58
27,9.76
28,6.99
29,5.76
30,4.93
31,3.92
32,4.93
33,6.02
34,4.98
35,5.91
36,5.17
37,4.43
38,3.17
39,5.43
40,5.6
41,4.75
42,3.54
43,4.39
44,4.08
45,3.58
46,3.45
47,4.83
48,5.52
49,7.02
50,5.75
51,3.64
52,9.43
53,3.38
54,5.27
55,5.93
56,4.47
57,3.03
58,6.11
59,4.1
60,6.2
61,4.56
62,4.3
63,4.34
64,5.0
65,3.78
66,4.95
67,5.65
68,5.91
69,3.75
70,4.39
71,5.52
72,7.51
73,7.54
74,7.49
75,7.27
76,7.98
77,5.05
78,4.75
79,2.93
80,5.21
81,6.87
82,3.93
83,5.2
84,11.8
85,4.86
86,3.5
87,4.21
88,4.06
89,5.46
90,8.33
91,6.44
92,4.24
93,6.53
94,6.26
95,5.22
96,2.0
97,2.53
98,6.27
99,6.91
100,6.11
101,6.18
102,4.39
103,5.93
104,3.77
105,6.27
106,4.57
107,2.14
108,6.62
109,2.57
110,8.64
111,4.16
112,1.61
113,3.12
114,2.23
115,0.99
116,4.36
117,2.73
118,4.01
119,5.05
120,3.03
121,1.29
122,4.82
123,2.65
124,1.52
125,2.76
126,5.03
127,6.83
128,3.03
129,1.36
130,1.25
131,0.84
132,3.41
133,1.23
134,4.28
135,5.39
136,0.73
137,1.19
138,0.81
139,0.58
140,1.08
141,0.92
142,0.67
143,2.18
144,1.73
145,1.14
146,1.02
147,2.03
148,1.43
149,0.47
150,0.36
151,0.83
152,0.59
153,1.05
154,0.79
155,0.41
156,0.37
157,0.38
158,0.39
159,0.89
160,0.98
161,0.61
162,0.52
163,0.46
164,0.35
165,0.47
166,0.89
167,0.32
168,0.79
169,0.53
170,0.44
171,0.46
172,0.63
173,0.7
174,0.76
175,0.85
176,0.56
177,0.75
178,0.64
179,0.43
180,0.47
181,0.07
182,0.28
183,0.48
184,1.54
185,0.79
186,0.87
187,1.1
188,0.72
189,0.81
190,0.46
191,0.75
192,0.57
193,0.2
194,0.44
195,0.29
196,0.35
197,0.28
198,0.07
199,0.11
200,0.45
201,0.31
202,0.53
203,0.26
204,0.19
205,0.2
206,0.26
207,0.28
208,0.72
209,0.66
210,0.46
211,0.3
212,0.32
213,0.08
214,0.31
215,0.48
216,0.56
217,0.04
218,0.1
219,0.11
220,0.13
221,0.12
222,0.08
223,0.26
224,0.22
225,0.85
226,0.52
227,0.44
228,0.59
229,0.53
230,0.59
231,0.41
232,0.67
233,0.9
234,1.15
235,0.73
236,0.64
237,0.61
238,0.4
239,0.55
240,1.01
241,0.91
242,0.32
243,0.96
244,0.64
245,0.56
246,0.62
247,0.54
248,0.6
249,0.26
250,0.11
251,0.14
252,0.14
253,0.24
254,0.14
255,0.2
256,0.22
257,0.2
258,0.09
259,0.35
260,0.66
261,0.69
262,0.83
263,0.29
264,0.69
265,0.81
266,0.9
267,0.58
268,1.05
269,0.81
270,0.45
271,0.57
272,0.29
273,0.23
274,0.27
275,0.41
276,0.43
277,0.29
278,0.2
279,0.59
280,0.94
281,1.34
282,0.58
283,0.42
284,0.45
285,0.54
286,0.32
287,0.73
288,0.57
289,0.99
290,1.21
291,0.57
292,0.61
293,0.66
294,0.57
295,0.67
296,0.62
297,0.79
298,0.8
299,0.6
300,0.2
301,0.42
302,0.19
303,0.45
304,0.17
305,0.27
306,0.19
307,0.17
308,0.39
309,0.56
310,0.3
311,0.3
312,0.5
313,0.54
314,0.54
315,0.76
316,0.42
317,0.44
318,0.37
319,0.26
320,0.5
321,0.36
322,0.75
323,0.42
324,0.62
325,0.58
326,0.72
327,0.57
328,0.73
329,0.53
330,0.71
331,0.25
332,0.29
333,0.36
334,0.75
335,0.71
336,0.74
337,0.58
338,0.79
339,0.53
340,0.35
341,0.53
342,0.33
343,0.16
344,0.14
345,0.09
346,0.24
347,0.47
348,0.88
349,1.09
350,0.76
351,0.36
352,0.67
353,0.36
354,0.19
355,0.21
356,0.45
357,0.39
358,0.37
359,0.34
360,0.4
361,0.35
362,0.28
363,0.2
364,0.28
365,0.32
366,0.47
367,0.22
368,0.08
369,0.01
370,0.09
371,0.17
372,0.1
373,0.76
374,0.37
375,0.54
376,0.25
377,0.12
378,0.03
379,0.28
380,0.1
381,0.16
382,0.16
383,0.19
384,0.16
385,0.06
386,0.12
387,0.05
388,0.04
389,0.19
390,0.12
391,0.1
392,0.12
393,0.09
394,0.25
395,0.37
396,0.48
397,0.21
398,0.5
399,0.54
400,0.23
401,0.15
402,0.15
403,0.37
404,0.06
405,0.33
406,0.62
407,0.67
408,0.23
409,0.26
410,0.57
411,0.26
412,0.16
