,scores
0,-1.0
1,-1.0
2,-1.0
3,-1.0
4,-0.996
5,-0.997
6,-0.9969999999999999
7,-1.0
8,-1.0
9,-0.9990000000000001
10,-1.0
11,-0.9980000000000001
12,-0.995
13,-0.9990000000000001
14,-0.9830000000000001
15,-0.956
16,-0.9880000000000001
17,-0.9930000000000001
18,-1.0
19,-0.9889999999999999
20,-0.976
21,-0.9810000000000001
22,-0.977
23,-0.9890000000000001
24,-0.9990000000000001
25,-0.9880000000000001
26,-0.985
27,-0.982
28,-0.9880000000000001
29,-0.9990000000000001
30,-1.0
31,-0.9890000000000001
32,-0.9630000000000001
33,-0.9840000000000001
34,-0.995
35,-0.991
36,-0.991
37,-0.996
38,-0.997
39,-0.9900000000000001
40,-0.977
41,-0.99
42,-0.9969999999999999
43,-0.9940000000000001
44,-0.9930000000000001
45,-0.9890000000000001
46,-0.98
47,-0.985
48,-0.9930000000000001
49,-0.978
50,-0.9430000000000003
51,-0.9670000000000001
52,-0.9480000000000001
53,-0.953
54,-0.9540000000000002
55,-0.9830000000000001
56,-0.9819999999999999
57,-0.99
58,-0.992
59,-0.9840000000000001
60,-0.9780000000000001
61,-0.9880000000000001
62,-0.992
63,-0.9780000000000001
64,-0.977
65,-0.9590000000000002
66,-0.9430000000000001
67,-0.9770000000000002
68,-0.961
69,-0.865
70,-0.97
71,-0.9810000000000002
72,-0.922
73,-0.9319999999999999
74,-0.9640000000000002
75,-0.9239999999999999
76,-0.894
77,-0.9139999999999999
78,-0.9060000000000001
79,-0.9150000000000001
80,-0.8630000000000001
81,-0.9219999999999999
82,-0.9180000000000001
83,-0.99
84,-0.8880000000000001
85,-0.9620000000000002
86,-0.6469999999999999
87,-0.8630000000000001
88,-0.882
89,-0.921
90,-0.9519999999999998
91,-0.919
92,-0.86
93,-0.7059999999999998
94,-0.74
95,-0.8220000000000001
96,-0.9229999999999999
97,-0.7090000000000002
98,-0.8300000000000002
99,-0.758
100,-0.845
101,-0.8650000000000001
102,-0.838
103,-0.807
104,-0.6829999999999999
105,-0.718
106,-0.705
107,-0.5419999999999999
108,-0.8260000000000001
109,-0.6309999999999999
110,-0.6480000000000001
111,-0.5720000000000001
112,-0.57
113,-0.5449999999999999
114,-0.3440000000000001
115,-0.29100000000000004
116,-0.513
117,-0.38599999999999995
118,-0.415
119,-0.547
120,-0.5670000000000001
121,-0.42
122,-0.5820000000000001
123,-0.568
124,-0.392
125,-0.467
126,-0.42800000000000005
127,-0.7160000000000001
